prefix aero 2
prefix anty 1
prefix para 1
prefix neo 1
prefix hydro 1
prefix pseudo 1
prefix auto 1
prefix audio 1
prefix radio 1
prefix elektro 2
prefix bez 1
prefix poli 1
prefix mono 1
prefix izo 1
prefix meta 1
prefix wielo 1
prefix wielko 1
prefix nano 1
prefix mikro 1
prefix mili 1
prefix centy 1
prefix decy 1
prefix deka 1
prefix hekto 1
prefix kilo 1
prefix mega 1
prefix giganto 2
prefix giga 1
prefix wieluset 1
prefix paruset 1
prefix kilkuset 1
prefix kilkunasto 3
prefix parunasto 3
prefix be¿owo 2
prefix bia³o 1
prefix blado 1
prefix blisko 1
prefix bordowo 2
prefix boso 1
prefix brudnawo 2
prefix brudno 1
prefix brunatno 2
prefix buro 1
prefix ca³o 1
prefix ceglasto 2
prefix chloro 1
prefix chudo 1
prefix cicho 1
prefix ciemno 1
prefix czerwono 1
prefix drobno 1
prefix epidemio 3
prefix ferro 1
prefix g³adko 1
prefix ideowo 3
prefix ideo 1
prefix jaskrawo 2
prefix jasno 1
prefix jedno 1
prefix krypto 1
prefix krótko 1
prefix liliowo 2
prefix martwo 1
prefix ma³o 1
prefix md³o 1
prefix mglisto 1
prefix mg³awo 1
prefix mikro 1
prefix miodowo 2
prefix miêkko 1
prefix modro 1
prefix modrawo 2
prefix moczowo 2
prefix mono 2
prefix m³odo 1
prefix mêsko 1
prefix mêtno 1
prefix mêtnawo 2
prefix naj 1
prefix nago 1
prefix nie 1
prefix niebiesko 2
prefix niebieskawo 3
prefix nisko 1
prefix nowo 1
prefix obco 1
prefix oko³o 2
prefix okr±g³o 2
prefix pe³no 1
prefix pomarañczowo 4
prefix ponad 1
prefix post 1
prefix poza 1
prefix prosto 1
prefix prze 1
prefix przeciw 1
prefix pusto 1
prefix puszysto 2
prefix pó³ 1
prefix rdzawo 1
prefix rudawo 2
prefix rudo 1
prefix rumiano 2
prefix rybio 1
prefix równo 1
prefix ró¿no 1
prefix ró¿owo 2
prefix ró¿owawo 3
prefix sinawo 2
prefix sino 1
prefix siwo 1
prefix skryto 1
prefix sk±po 1
prefix smuk³o 1
prefix spektro 1
prefix srebrno 1
