a s
a s
aby s
abym s
aby¶ s
aby¶my s3
aby¶cie s3
acz u
aczkolwiek u
ad u
aha 1
ahoj 1
akurat u
albo s
albowiem s
albo¿ u
ale s
ale¿ u
ali¶ci u
ani s
ani¶ s
ani¶my s3
ani¶cie s3
ani¿eli u
ano u1
azali u
azali¿ u
a¿ s
a¿eby u
bacz V
baj V
bajcz V
barw V
baw V
bazgrz V
ba³ v
baæ v
becz V
bez p
beze u
be³cz V
biec v
bied¼ V
bieg³ v
biel V
bierz V
bie¶ V
bij V
bi³ v
biæ v
blad³ v
blak³ v
blu¼ñ V
bo s
bocz V
bodaj¿e u
bowiem u
boæ u
brak v
bra³ v
braæ v
bred¼ V
brnie v
brniesz v
brnij V
brn± v
brn±³ v
brn±æ v
brnê v
brocz V
brod¼ V
broñ V
brud¼ V
bru¼d¼ V
brzmi v
brzmia³ v
brzmiej V
brzmieæ v
brzmij V
brzmisz v
brzmi± v
brzmiê v
brzy v
brzyd³ v
brzyd¼ V
brzyj V
brzysz v
brzy³ v
brzyæ v
brz± v
brzê v
brzêcz V
brzêk³ v
brój V
bucz V
bud¼ V
bul V
burcz V
burz V
by u
bycz V
byle u
byli o
bynajmniej u
by³ o
by³a v
by³o v
by³y v
by³em v
by³e¶ v
by³a¶ v
by³bym v3
by³by¶ v3
by³by v3
by³aby v3
by³abym v3
by³oby v3
byliby v3
byliby¶my v4
byliby¶cie v4
by³¿e v3
by³¿eby v3
byæ v
bêdê o
bêdziesz o
bêdzie o
bêdziemy o
bêdziecie o
bêd± o
bzdurz V
bzycz V
b±d¼ V
b³oæ V
b³yszcz V
b³±d¼ V
b¼dzij V
b¼dzisz v
b¼dzi³ v
b¼dziæ v
b¿d¿± v
b¿d¿ê v
bód³ v
bód¼ V
bój V
bó¶æ v
ced¼ V
ceñ V
chamrz V
chap V
charcz V
chce v
chcesz v
chcia³ v
chciej V
chcieæ v
chc± v
chc±c v
chcê v
che³p V
chla v
chlaj V
chlam v
chlap V
chlasz v
chlaszcz V
chla³ v
chlaæ v
chlej V
chlip V
chlub V
chlup V
chluszcz V
chmiel V
chmurz V
chocia¿ u
chod¼ V
choæ u
choæby u
chrap V
chroñ V
chrup V
chru¶æ V
chryp V
chryp³ v
chrzañ V
chrzcij V
chrzcisz v
chrzci³ v
chrzciæ v
chrzcz± v
chrzczê v
chrzêszcz V
chrzê¶æ V
chud³ v
chud¼ V
chwal V
chwaæ V
chwia³ v
chwiaæ v
chwiej V
chwyæ V
chyb V
chyba u
chyl V
chytrz V
ch³ap V
ch³epcz V
ch³od¼ V
ch³oszcz V
ch³oñ V
ch³ód³ v
ch³ód¼ V
ci Uh
ciap V
cich³ v
ciebie u
ciec v
ciek³ v
ciel V
ciep V
cierp V
cierp³ v
cierñ V
ciesz V
ciosz V
cisz V
ciurcz V
ci±³ v
ci±æ v
ciê¿ V
ckniæ v
clij V
clisz v
cli³ v
cliæ v
cl± v
clê v
cmokcz V
cniæ v
co P
có¿ P
coraz u
cukrz V
cuæ V
czad¼ V
czaj V
czcij V
czcisz v
czci³ v
czciæ v
czcz± v
czczê v
czep V
czerp V
czerw V
czerñ V
czesz V
czka v
czkaj V
czkam v
czkasz v
czka³ v
czkaæ v
czknie v
czkniesz v
czknij V
czkn± v
czkn±³ v
czkn±æ v
czknê v
cznia v
czniaj V
czniam v
czniasz v
cznia³ v
czniaæ v
czuj V
czul V
czu³ v
czuæ v
czwórz V
czy u
czy¿ u
czyli u
czyli¿ u
czy¶æ V
czyñ V
cz³ap V
da v
daj V
dalej¿e 3
dam v
darz V
dar³ v
dasz v
da³ v
daæ v
dba v
dbaj V
dbam v
dbasz v
dba³ v
dbaæ v
depcz V
dla p
dlaczego u
dlaczego¿ u
dlaczegó¿ u
dlatego u
dlañ u
dmij V
dnieæ v
dniuj V
do p
dobrze¶my 3
dobrze¶cie 3
dobrzy¶my 3
dobrzy¶cie 3
dojd¼ V
doj¶æ v
doko³a u
dok±d u
dooko³a u
dopok±d u
dopóki u
dopóki¿ u
dopóty u
dot±d u
doñ u
drap V
dra¿ñ V
drepcz V
drga v
drgaj V
drgam v
drgasz v
drga³ v
drgaæ v
drgnie v
drgniesz v
drgnij V
drgn± v
drgn±³ v
drgn±æ v
drgnê v
drocz V
drwij V
drwisz v
drwi± v
drwi³ v
drwiæ v
drwiê v
drze v
drzem V
drzesz v
drzeæ v
drzyj V
dr± v
dr±¿ V
dr¿a³ v
dr¿eæ v
dr¿y v
dr¿ysz v
dr¿± v
dr¿ê v
drê v
drêcz V
drób V
dró¿ V
dudl V
duj V
dulcz V
dupcz V
du³ v
du¶ V
duæ v
dwój V
dyb V
dym V
dysz V
dziab V
dziam V
dzia³ v
dziaæ v
dzicz V
dziej V
dziel V
dzier¿ V
dziob V
dziw V
dziêki u
dziób V
dzwoñ V
d±³ v
d±¿ V
d±æ v
d³aw V
d³ub V
d³u¿ V
d¼ga v
d¼gaj V
d¼gam v
d¼gasz v
d¼ga³ v
d¼gaæ v
d¼gnie v
d¼gniesz v
d¼gnij V
d¼gn± v
d¼gn±³ v
d¼gn±æ v
d¼gnê v
d¼wiêcz V
d¿d¿y v
d¿d¿ysz v
d¿d¿y³ v
d¿d¿yæ v
d¿d¿± v
d¿d¿ê v
dêb V
dój V
ex u
fajcz V
faræ V
fiucz V
fruñ V
furcz V
für u
gaj V
gap V
garb V
gard¼ V
gas³ v
ga¶ V
gaæ V
gañ V
gdacz V
gderz V
gdy u
gdyby¿ u
gdy¿ u
gdzie p
gdziekolwiek u
gdzieniegdzie u
gdzie¶ u
gdzie¶my u
gdzie¶cie u
gdzie¿ u
gdzie¿e u
gdzie¿esz u
gdzie¿e¶ u
gdzie¿e¶my u3
gdzie¿e¶cie u3
gib V
gi±³ v
gi±æ v
giñ V
glam V
glêd¼ V
gmerz V
gna v
gnaj V
gnam v
gnasz v
gna³ v
gnaæ v
gnie v
gniesz v
gnie¶æ v
gnie¼d¼ V
gnieæ V
gnij V
gni³ v
gniæ v
gniót³ v
gn± v
gnê v
gnêb V
gnój V
go rh
gol V
gorsz V
go¶æ V
goñ V
gra v
grab V
graj V
gram v
grand¼ V
grasz v
gra³ v
graæ v
grod¼ V
grom V
gro¼ V
gryz³ v
gry¼ V
gry¼æ v
grza³ v
grzaæ v
grzeb V
grzej V
grzesz V
grzmia³ v
grzmieæ v
grzmij V
grzmisz v
grzmi± v
grzmiê v
grzmoæ V
grz±z³ v
grz±¼æ v
gr±¿ V
gród¼ V
gró¼ V
gub V
gurb V
guzdrz V
gwarz V
gwa³æ V
gwi¿d¿ V
gwoli u
gwo¼d¼ V
gzij V
gzi³ v
gziæ v
g³ad¼ V
g³aszcz V
g³od¼ V
g³o¶ V
g³uch³ v
g³usz V
g³u¿ V
g³ód¼ V
g³ów V
gêst³ v
gód¼ V
gój V
hacz V
hañb V
hep V
hucz V
hura 1
hurra 1
i s
ich rh
id¼ V
ikrz V
im uh
ino u
iskrz V
i¶æ V
i¿ u
i¿by u
ja r
jad³ v
jad¼ V
jak u
jakkolwiek u
jako u
jakoby u
jako¶ u
jako¶my u3
jako¶cie u3
jako¿ u
jak¿e¿ u
jarz V
jaw V
je rh
jeb V
jednak u
jednak¿e u
jedz V
jed¼ V
jej r
jem v
jemu u
jest o
jestem o
jesz v
jeszcze u
je¶li u
je¶liby u
je¶æ v
je¼d¼ V
je¿ V
je¿eli u
jojcz V
jucz V
jud¼ V
ju¿ p
ju¿ci u
ju¿em u
j± rh
j±trz V
j±³ v
j±æ v
jêcz V
kad¼ V
kap V
kaput 1
karm V
karz V
karæ V
kaszl V
ka¼ V
ka¿ V
kiedy¶ u
kiedy¿ u
kiedy¿by u3
kip V
kis³ v
ki¶ V
klap V
klaszcz V
klej V
klep V
kleszcz V
kleæ V
klnie v
klniesz v
klnij V
kln± v
klnê v
klucz V
kluj V
klu³ v
kluæ v
kl±k³ v
kl±s³ v
kl±³ v
kl±æ v
klêcz V
klês³ v
knia¼ V
knoæ V
knuj V
knu³ v
knuæ v
kontra u
kop V
kopæ V
korz V
koræ V
ko³o u
ko¶ V
koæ V
koñcz V
kpij V
kpisz v
kpi± v
kpi³ v
kpiæ v
kpiê v
kpi v
kracz V
krad³ v
kraj V
kra¶ V
kra¶æ v
kreuj V
kre¶l V
krocz V
krop V
krucz V
krup V
krusz V
krwaw V
kryj V
kry³ v
kryæ v
krzacz V
krzep V
krzep³ v
krzesz V
krzew V
krztu¶ V
krzycz V
krzyw V
krzywd¼ V
kr±¿ V
krêæ V
krój V
kszta³æ V
ku p
kuchæ V
kuj V
kul V
kup V
kupcz V
kurcz V
kurw V
kurz V
ku³ v
ku¶ V
kuæ v
